variable_code,variable_name,unit,method,variable_type,variable_subtype,R_display,valence,flux_convertible,molecule,notes,val_min,val_max
ch_annual_Na_flux_sd_space,Annual Sodium Flux Standard Deviation,kg/ha,UNKNOWN,ws_char,"NADP",NA,NA,0,NA,NA,NA,NA
ch_annual_NH4_flux_mean,Mean Annual Ammonium Flux,kg/ha,UNKNOWN,ws_char,"NADP",NA,NA,0,NA,NA,NA,NA
ch_annual_NH4_flux_sd_space,Annual Ammonium Flux Standard Deviation,kg/ha,UNKNOWN,ws_char,"NADP",NA,NA,0,NA,NA,NA,NA
ch_annual_NO3_flux_mean,Mean Annual nitrate flux,kg/ha,UNKNOWN,ws_char,"NADP",NA,NA,0,NA,NA,NA,NA
ch_annual_NO3_flux_sd_space,Annual Nitrate Flux Standard Deviation,kg/ha,UNKNOWN,ws_char,"NADP",NA,NA,0,NA,NA,NA,NA
ch_annual_S_N_flux_mean,Mean Annual Nitrogen+Sulfur Flux,kg/ha,UNKNOWN,ws_char,"NADP",NA,NA,0,NA,NA,NA,NA
ch_annual_S_N_flux_sd_space,Annual Nitrogen+Sulfur Flux Standard Deviation,kg/ha,UNKNOWN,ws_char,"NADP",NA,NA,0,NA,NA,NA,NA
ch_annual_SO4_flux_mean,Mean Annual Sulfate Flux,kg/ha,UNKNOWN,ws_char,"NADP",NA,NA,0,NA,NA,NA,NA
ch_annual_SO4_flux_sd_space,Annual Sulfate Flux Standard Deviation,kg/ha,UNKNOWN,ws_char,"NADP",NA,NA,0,NA,NA,NA,NA
CH4,Methane,ppm,UNKNOWN,gas,Other,expression(UNKNOWN),NA,0,NA,NA,0,10000
CH4_C,Methane-C,mg/L,UNKNOWN,gas,Other,expression(UNKNOWN),NA,0,NA,NA,NA,NA
CHL,Chlorophyll,mg/L,UNKNOWN,bio,Other,expression(UNKNOWN),NA,0,NA,NA,0,NA
ck_et_ref_mean,Mean Annual Reference Evapotranspiration (grass),mm,UNKNOWN,ws_char,GRIDMET,NA,NA,0,NA,NA,NA,NA
ck_et_ref_median,Daily Reference Evapotranspiration (grass),mm,UNKNOWN,ws_char,GRIDMET,NA,NA,0,NA,NA,NA,NA
ck_et_ref_sd,Daily Reference Evapotranspiration (grass) Standard Deviation,mm,UNKNOWN,ws_char,GRIDMET,NA,NA,0,NA,NA,NA,NA
ck_et_ref_sd_space,Watershed Reference Evapotranspiration (grass) Standard Deviation,mm,UNKNOWN,ws_char,GRIDMET,NA,NA,0,NA,NA,NA,NA
ck_et_ref_sd_year,Annual Reference Evapotranspiration (grass) Standard Deviation,mm,UNKNOWN,ws_char,GRIDMET,NA,NA,0,NA,NA,NA,NA
Cl,Chloride,mg/L,ion chromatography,chem_discrete,Anions,expression(Cl^'-'),1,1,NA,NA,0,10000
cl_snow_depth_ann_max,Annual Max Snow Depth,mm,UNKNOWN,ws_char,Snow,NA,NA,0,NA,NA,NA,NA
cl_snow_depth_ann_mean,Annual Mean Snow Depth,mm,UNKNOWN,ws_char,Snow,NA,NA,0,NA,NA,NA,NA
cl_snow_depth_ann_min,Annual Minimum Snow Depth,mm,UNKNOWN,ws_char,Snow,NA,NA,0,NA,NA,NA,NA
cl_snow_depth_cd_year,Watershed Snow Depth Standard Deviation,mm,UNKNOWN,ws_char,Snow,NA,NA,0,NA,NA,NA,NA
cl_snow_depth_mean,Daily Mean Snow Depth,mm,UNKNOWN,ws_char,Snow,NA,NA,0,NA,NA,NA,NA
cl_snow_depth_sd,Daily Snow Depth Standard Deviation,mm,UNKNOWN,ws_char,Snow,NA,NA,0,NA,NA,NA,NA
cl_snow_depth_sd_space,Annual Snow Depth Standard Deviation,mm,UNKNOWN,ws_char,Snow,NA,NA,0,NA,NA,NA,NA
cl_swe_ann_max,Annual Max Snow Water Equivalent,mm,UNKNOWN,ws_char,Snow,NA,NA,0,NA,NA,NA,NA
cl_swe_ann_mean,Annual Mean Snow Water Equivalent,mm,UNKNOWN,ws_char,Snow,NA,NA,0,NA,NA,NA,NA
cl_swe_ann_min,Annual Minimum Snow Water Equivalent,mm,UNKNOWN,ws_char,Snow,NA,NA,0,NA,NA,NA,NA
cl_swe_mean,Daily Mean Snow Water Equivalent,mm,UNKNOWN,ws_char,Snow,NA,NA,0,NA,NA,NA,NA
cl_swe_sd,Daily Snow Water Equivalent Standard Deviation,mm,UNKNOWN,ws_char,Snow,NA,NA,0,NA,NA,NA,NA
cl_swe_sd_space,Annual Snow Water Equivalent Standard Deviation,mm,UNKNOWN,ws_char,Snow,NA,NA,0,NA,NA,NA,NA
cl_swe_sd_year,Watershed Snow Water Equivalent Standard Deviation,mm,UNKNOWN,ws_char,Snow,NA,NA,0,NA,NA,NA,NA
Co,Cobalt,mg/L,UNKNOWN,chem_discrete,Cations,expression(UNKNOWN),2.5,1,Co,Check valence,0,1000000
CO2,Carbon Dioxide,ppm,UNKNOWN,gas,Other,expression(UNKNOWN),NA,0,NA,NA,0,100000
CO2_C,Carbon Dioxide-C,mg/L,UNKNOWN,gas,Other,expression(UNKNOWN),NA,0,NA,NA,NA,NA
CO3,Carbonate,mg/L,UNKNOWN,chem_discrete,Anions,expression(CO[3]^'-2'),2,1,NA,NA,0,1000000
Cr,Chromium,mg/L,Absorption/Emission Spectrophotometer,chem_discrete,Other,expression(UNKNOWN),NA,1,Cr,"Many ion forms, not sure which to use over mean?",0,1000000
Cs,Caesium,mg/L,UNKNOWN,chem_discrete,Cations,expression(UNKNOWN),NA,1,Cs,Not sure what valence to use,0,1000000
Cu,Copper,mg/L,Absorption/Emission Spectrophotometer,chem_discrete,Other,expression(Cu^'+2'),2,1,Cu,NA,0,1000000
CUSTOMprecipitation,Basin Precipitation (determined by source),mm,UNKNOWN,hydro,Other,expression(UNKNOWN),NA,0,NA,NA,0,NA
d18O,Delta 18 Oxygen,ppt,UNKNOWN,phys,Other,expression(UNKNOWN),NA,0,O,parts per thousand,NA,NA
deuterium,Deuterium,unitless,UNKNOWN,phys,Other,expression(UNKNOWN),NA,0,H,ALso called H-2 or delta h2,NA,NA
DIC,Dissolved Inorganic Carbon,mg/L,UNKNOWN,chem_mix,Other,expression(UNKNOWN),1,1,C,NA,0,100000
DIN,Dissolved Inorganic Nitrogen,mg/L,UNKNOWN,chem_mix,Other,expression(UNKNOWN),1,1,N,NA,NA,2000
discharge,Discharge,L/s,UNKNOWN,hydro,Other,expression(UNKNOWN),NA,0,NA,NA,0,250000000
DO,Dissolved Oxygen,mg/L,UNKNOWN,gas,Other,expression(UNKNOWN),NA,0,O,NA,-0.5,40
DO_sat,Dissolved Oxygen Percent Saturation,%,UNKNOWN,gas,Other,expression(UNKNOWN),NA,0,O,NA,0,200
DOC,Dissolved Organic Carbon,mg/L,combustion,chem_mix,Other,expression(UNKNOWN),1,1,C,NA,0,1000
DON,Dissolved Organic Nitrogen,mg/L,derived,chem_mix,Other,expression(UNKNOWN),1,1,N,NA,0,1000
DOP,Dissolved Organic Phosphorus,mg/L,UNKNOWN,chem_mix,Other,expression(UNKNOWN),1,1,P,NA,0,1000000
Dy,Dysprosium,mg/L,UNKNOWN,chem_discrete,Cations,expression(UNKNOWN),NA,1,Dy,Not sure what valence to use,0,1000000
E_pheophy,Epilithic Phaeophytin,mg/cm2,"Epilithic - Whole Rock, PE2400 CHN Combustion Method",bio,Other,expression(mg/cm^'2'),NA,0,NA,NA,0,NA
ECHL_A,Epilithic Chlorophyll a,mg/cm2,"Epilithic - Whole Rock, PE2400 CHN Combustion Method",bio,Other,expression(mg/cm^'2'),NA,0,NA,NA,0,NA
Ecoli,Escherichia coli,#/mL,UNKNOWN,bio,Other,expression(UNKNOWN),NA,0,NA,Ecoli is generally measured in CFU/ml and PNC/ml but they are roughly comparable so we can use #/ml,0,NA
Er,Erbium,mg/L,UNKNOWN,chem_discrete,Cations,expression(UNKNOWN),NA,1,Er,Not sure what valence to use,0,1000000
Eu,Europium,mg/L,UNKNOWN,chem_discrete,Cations,expression(UNKNOWN),NA,1,Eu,Not sure what valence to use,0,1000000
F,Fluorine,mg/L,UNKNOWN,chem_discrete,Anions,expression(F^'-'),1,1,NA,NA,0,100
FDOM,Fluorescent Dissolved Organic Matter,QSU,UNKNOWN,chem_mix,Other,expression(UNKNOWN),NA,0,NA,NA,0,NA
Fe,Iron,mg/L,UNKNOWN,chem_discrete,Cations,expression(UNKNOWN),2.5,1,NA,NA,0,100
Ga,Gallium,mg/L,UNKNOWN,chem_discrete,Other,expression(UNKNOWN),NA,1,Ga,NA,0,1000000
Gd,Gadolinium,mg/L,UNKNOWN,chem_discrete,Cations,expression(UNKNOWN),NA,1,Gd,Not sure what valence to use,0,1000000
Gd157,Gadolinium-157,mg/L,UNKNOWN,chem_discrete,Cations,expression(UNKNOWN),NA,1,Gd,Not sure what valence to use,0,1000000
Ge,Germanium,mg/L,UNKNOWN,chem_discrete,Cations,expression(UNKNOWN),NA,1,Ge,Not sure what valence to use,0,1000000
geol_class_EV,Geologic Class Evaporites,%,UNKNOWN,ws_char,Lithology,NA,NA,0,NA,NA,NA,NA
geol_class_IG,Geologic Class Ice and Glaciers,%,UNKNOWN,ws_char,Lithology,NA,NA,0,NA,NA,NA,NA
geol_class_MT,Geologic Class Metamorphic Rocks,%,UNKNOWN,ws_char,Lithology,NA,NA,0,NA,NA,NA,NA
geol_class_ND,Geologic Class No Data,%,UNKNOWN,ws_char,Lithology,NA,NA,0,NA,NA,NA,NA
geol_class_PA,Geologic Class Acid Plutonic Rocks,%,UNKNOWN,ws_char,Lithology,NA,NA,0,NA,NA,NA,NA
geol_class_PB,Geologic Class Basic Plutonic Rocks,%,UNKNOWN,ws_char,Lithology,NA,NA,0,NA,NA,NA,NA
geol_class_PI,Geologic Class Intermediate Plutonic Rock,%,UNKNOWN,ws_char,Lithology,NA,NA,0,NA,NA,NA,NA
geol_class_PY,Geologic Class Pyroclastics,%,UNKNOWN,ws_char,Lithology,NA,NA,0,NA,NA,NA,NA
geol_class_SC,Geologic Class Carbonate Sedimentary Rocks,%,UNKNOWN,ws_char,Lithology,NA,NA,0,NA,NA,NA,NA
geol_class_SM,Geologic Class Mixed Sedimentary Rocks,%,UNKNOWN,ws_char,Lithology,NA,NA,0,NA,NA,NA,NA
geol_class_SS,Geologic Class Siliciclasstic Sedimentary Rock,%,UNKNOWN,ws_char,Lithology,NA,NA,0,NA,NA,NA,NA
geol_class_SU,Geologic Class Unconcolidated Sediments,%,UNKNOWN,ws_char,Lithology,NA,NA,0,NA,NA,NA,NA
geol_class_VA,Geologic Class Acid Volcanic Rocks,%,UNKNOWN,ws_char,Lithology,NA,NA,0,NA,NA,NA,NA
geol_class_VB,Geologic Class Basic Volvanic Rocks,%,UNKNOWN,ws_char,Lithology,NA,NA,0,NA,NA,NA,NA
geol_class_VI,Geologic Class Intermediate Volcanic Rock,%,UNKNOWN,ws_char,Lithology,NA,NA,0,NA,NA,NA,NA
geol_class_WB,Geologic Class Water Bodies,%,UNKNOWN,ws_char,Lithology,NA,NA,0,NA,NA,NA,NA
H,Hydrogen,mg/L,UNKNOWN,chem_discrete,Cations,expression(H^'+'),1,1,NA,NA,0,1000000
HCO3,Bicarbonate,mg/L,UNKNOWN,chem_discrete,Anions,expression(HCO[3]^'-'),3,1,NA,NA,0,1000000
hd_bfi_mean,Mean Baseflow Index,%,UNKNOWN,ws_char,Hydrology,NA,NA,0,NA,NA,NA,NA
hd_bfi_sd,Baseflow Index Standard Deviation,%,UNKNOWN,ws_char,Hydrology,NA,NA,0,NA,NA,NA,NA
Hf,Hafnium,mg/L,UNKNOWN,chem_discrete,Other,expression(UNKNOWN),NA,1,Hf,NA,0,1000000
Hg,Mercury,mg/L,UNKNOWN,chem_discrete,Other,expression(UNKNOWN),NA,1,Hg,NA,0,1000000
Ho,Holmium,mg/L,UNKNOWN,chem_discrete,Cations,expression(UNKNOWN),NA,1,Ho,Not sure what valence to use,0,1000000
I,Iodine,mg/L,UNKNOWN,chem_discrete,Other,expression(UNKNOWN),NA,1,I,NA,0,1000000
ionBalance,Ion Balance,ueq/L,UNKNOWN,chem_mix,Other,expression(UNKNOWN),NA,0,NA,NA,NA,NA
ionError,Ion Error,%,UNKNOWN,chem_mix,Other,expression(UNKNOWN),NA,0,NA,NA,NA,NA
Ir,Iridium,mg/L,UNKNOWN,chem_discrete,Other,expression(UNKNOWN),NA,1,Ir,NA,0,1000000
K,Potassium,mg/L,flame atomic absorption spectroscopy,chem_discrete,Cations,expression(K^'+'),1,1,NA,NA,0,1000
La,Lanthanum,mg/L,UNKNOWN,chem_discrete,Cations,expression(La^'+3'),3,1,La,NA,0,1000000
lg_lncd_lichens,Lichens,%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_1992_barren,Bare Rock/Sand/Clay (1992),%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_1992_barren_tran,Transitional Barren (1992),%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_1992_commercial,Commercial/Industrial/Transportation (1992),%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_1992_fallow,Fallow (1992),%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_1992_forest_dec,Deciduous Forest (1992),%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_1992_forest_evr,Evergreen Forest (1992),%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_1992_forest_mix,Mixed Forest (1992),%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_1992_grass,Grasswland/Herbaceous (1992),%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_1992_ice_snow,Perennial Ice/Snow (1992),%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_1992_mines,Quarries/Strip Minds/Gravel Pits (1992),%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_1992_orchards,Orchards/Vineyards/Other (1992),%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_1992_pasture,Pasture/Hay (1992),%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_1992_res_hi,High Intensity Residential (1992),%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_1992_res_low,Low intensity Residential (1992),%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_1992_row_crop,Row Crops (1992),%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_1992_shrub,Shrubland (1992),%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_1992_small_grains,Small Grains (1992),%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_1992_urban_grass,Urban/Recreational Grasses (1992),%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_1992_water,Open Water (1992),%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_1992_wetland_herb,Emergent Herbaceous Wetland (1992),%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_1992_wetland_wood,Woody Wetland (1992),%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_barren,Barren Land,%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_crop,Cultivated Crops,%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_dev_hi,"Developed, High Intensity",%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_dev_low,"Developed, Low Intensity",%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_dev_med,"Developed, Medium Intensity",%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_dev_open,"Developed, Open Space",%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_forest_dec,Deciduous Forest,%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_forest_evr,Evergreen Forest,%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_forest_mix,Mixed Forest,%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_grass,Grassland/Herbaceous,%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_ice_snow,Perennial Ice/Snow,%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_moss,Moss,%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_pasture,Pasture/Hay,%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_sedge,Sedge/Herbaceous,%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_shrub,Shrub/Scrub,%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_shrub_dwr,Dwarf Scrub,%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_water,Open Water,%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_wetland_herb,Emergent Herbaceous Wetland,%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
lg_nlcd_wetland_wood,Woody Wetland,%,UNKNOWN,ws_char,NLCD,NA,NA,0,NA,NA,NA,NA
Li,Lithium,mg/L,UNKNOWN,chem_discrete,Cations,expression(UNKNOWN),1,1,Li,NA,0,1000000
Lu,Lutetium,mg/L,UNKNOWN,chem_discrete,Cations,expression(UNKNOWN),NA,1,Lu,Not sure what valence to use,0,1000000
MF_C,Moss: Fontinalis: Carbon,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),NA,0,NA,From Arctic LTER,0,NA
MF_N,Moss: Fontinalis: Nitrogen,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),NA,0,NA,From Arctic LTER,0,NA
MF_P,Moss: Fontinalis: Phosphorus,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),NA,0,NA,From Arctic LTER,0,NA
Mg,Magnesium,mg/L,flame atomic absorption spectroscopy,chem_discrete,Cations,expression(Mg^'+2'),2,1,NA,NA,0,10000
MH_Al,Moss: Hygrohypnum: Aluminum,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),NA,0,NA,From Arctic LTER,0,NA
MH_B,Moss: Hygrohypnum: Boron,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),NA,0,NA,From Arctic LTER,0,NA
MH_C,Moss: Hygrohypnum: Carbon,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),NA,0,NA,From Arctic LTER,0,NA
MH_Ca,Moss: Hygrohypnum: Calcium,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),NA,0,NA,From Arctic LTER,0,NA
MH_Cu,Moss: Hygrohypnum: Copper,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),NA,0,NA,From Arctic LTER,0,NA
MH_Fe,Moss: Hygrohypnum: Iron,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),NA,0,NA,From Arctic LTER,0,NA
MH_K,Moss: Hygrohypnum: Potassium,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),NA,0,NA,From Arctic LTER,0,NA
MH_Mg,Moss: Hygrohypnum: Magnesium,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),NA,0,NA,From Arctic LTER,0,NA
MH_Mn,Moss: Hygrohypnum: Manganese,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),NA,0,NA,From Arctic LTER,0,NA
MH_N,Moss: Hygrohypnum: Nitrogen,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),NA,0,NA,From Arctic LTER,0,NA
