variable_code,variable_name,chem_category,unit,observations,n_sites,first_record_utc,last_record_utc
TOC,Total Organic Carbon,precip_conc,mg/L,40885,13,2011-02-11T00:00:00Z,2019-09-21T00:00:00Z
TOC,Total Organic Carbon,stream_conc,mg/L,169149,67,1985-07-11T00:00:00Z,2020-10-29T00:00:00Z
TP,Total Phosphorus,precip_conc,mg/L,9588,4,2008-03-18T00:00:00Z,2017-12-12T00:00:00Z
TP,Total Phosphorus,stream_conc,mg/L,235331,81,1989-09-06T00:00:00Z,2020-03-20T00:00:00Z
TPC,Total Particulate Carbon,stream_conc,mg/L,140147,74,1994-06-24T00:00:00Z,2019-12-20T00:00:00Z
TPN,Total Particulate Nitrogen,precip_conc,mg/L,67088,14,1978-06-22T00:00:00Z,2019-05-22T00:00:00Z
TPN,Total Particulate Nitrogen,stream_conc,mg/L,146309,75,1978-06-16T00:00:00Z,2019-05-22T00:00:00Z
TPP,Total Particulate Phosphorus,precip_conc,mg/L,134818,18,1974-10-30T00:00:00Z,2019-12-30T00:00:00Z
TPP,Total Particulate Phosphorus,stream_conc,mg/L,281676,88,1974-10-01T00:00:00Z,2019-05-22T00:00:00Z
TSS,Total Suspended Solids,stream_conc,mg/L,258225,80,1983-06-03T00:00:00Z,2020-08-11T00:00:00Z
turbid,Turbidity,NA,FNU,62746,14,2001-10-03T00:00:00Z,2021-07-27T00:00:00Z
U,Uranium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
U,Uranium,stream_conc,mg/L,82390,34,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
UTKN,Unfilt. Total Kjeldahl Nitrogen,precip_conc,mg/L,49058,14,1978-06-22T00:00:00Z,2005-05-10T00:00:00Z
UTKN,Unfilt. Total Kjeldahl Nitrogen,stream_conc,mg/L,20690,16,1978-06-16T00:00:00Z,2011-06-17T00:00:00Z
UTN,Unfiltered Total Nitrogen,precip_conc,mg/L,60630,10,1978-06-28T00:00:00Z,2017-04-05T00:00:00Z
UTN,Unfiltered Total Nitrogen,stream_conc,mg/L,23821,9,1978-06-28T00:00:00Z,2019-05-22T00:00:00Z
UTP,Unfiltered Total Phosphorus,precip_conc,mg/L,87982,14,1974-10-30T00:00:00Z,2017-04-05T00:00:00Z
UTP,Unfiltered Total Phosphorus,stream_conc,mg/L,43437,17,1974-10-01T00:00:00Z,2019-05-22T00:00:00Z
V,Vanadium,precip_conc,mg/L,38298,26,2011-03-29T00:00:00Z,2019-04-20T00:00:00Z
V,Vanadium,stream_conc,mg/L,82454,35,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
VSS,Volatile Suspended Sediment,stream_conc,mg/L,12262,3,2009-05-07T00:00:00Z,2020-08-11T00:00:00Z
W,Tungsten,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
W,Tungsten,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Y,Yttrium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Y,Yttrium,stream_conc,mg/L,106122,22,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Yb,Ytterbium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Yb,Ytterbium,stream_conc,mg/L,79923,21,2003-03-30T00:00:00Z,2020-12-02T00:00:00Z
Zn,Zinc,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Zn,Zinc,stream_conc,mg/L,171123,51,1993-01-18T00:00:00Z,2020-12-02T00:00:00Z
Zr,Zirconium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Zr,Zirconium,stream_conc,mg/L,75932,28,2003-03-26T00:00:00Z,2020-12-02T00:00:00Z
