"dataPackageID"	"systemID"	"title"	"givenName"	"middleInitial"	"surName"	"role"	"organizationName"	"email"	"onlineDescription"	"url"
		"BCCZO -- Meteorology, Air Temperature -- (BT_Met) -- Betasso -- (2009-Ongoing), HydroShare, http://www.hydroshare.org/resource/6bf3e44b9de344749d8f665e139e7311"	"Eric"		"Parrish"	"contact"	"czo"	"eric.parrish@colorado.edu"	"Anderson, S., N. Rock, D. Ragar (2021). BCCZO -- Meteorology, Air Temperature -- (BT_Met) -- Betasso -- (2009-Ongoing), HydroShare, http://www.hydroshare.org/resource/6bf3e44b9de344749d8f665e139e7311"	"https://www.hydroshare.org/resource/6bf3e44b9de344749d8f665e139e7311"
		"BCCZO -- Meteorology, Air Temperature -- (BT_Met) -- Betasso -- (2009-Ongoing), HydroShare, http://www.hydroshare.org/resource/6bf3e44b9de344749d8f665e139e7311"	"Suzanne"		"Anderson"	"creator"	"czo"	"eric.parrish@colorado.edu"	"Anderson, S., N. Rock, D. Ragar (2021). BCCZO -- Meteorology, Air Temperature -- (BT_Met) -- Betasso -- (2009-Ongoing), HydroShare, http://www.hydroshare.org/resource/6bf3e44b9de344749d8f665e139e7311"	"https://www.hydroshare.org/resource/6bf3e44b9de344749d8f665e139e7311"
		"BCCZO -- Precipitation -- Water Chemistry (BT-GGU_P_Canopy-Open) -- Betasso & Gordon Gulch -- (2011-2019), HydroShare, http://www.hydroshare.org/resource/cf49999ccc734c268f2ef001cdbc2c16"	"Eric"		"Parrish"	"contact"	"czo"	"eric.parrish@colorado.edu"	"Anderson, S., C. Jensen (2021). BCCZO -- Precipitation -- Water Chemistry (BT-GGU_P_Canopy-Open) -- Betasso & Gordon Gulch -- (2011-2019), HydroShare, http://www.hydroshare.org/resource/cf49999ccc734c268f2ef001cdbc2c16"	"https://www.hydroshare.org/resource/cf49999ccc734c268f2ef001cdbc2c16"
		"BCCZO -- Precipitation -- Water Chemistry (BT-GGU_P_Canopy-Open) -- Betasso & Gordon Gulch -- (2011-2019), HydroShare, http://www.hydroshare.org/resource/cf49999ccc734c268f2ef001cdbc2c16"	"Suzanne"		"Anderson"	"creator"	"czo"	"eric.parrish@colorado.edu"	"Anderson, S., C. Jensen (2021). BCCZO -- Precipitation -- Water Chemistry (BT-GGU_P_Canopy-Open) -- Betasso & Gordon Gulch -- (2011-2019), HydroShare, http://www.hydroshare.org/resource/cf49999ccc734c268f2ef001cdbc2c16"	"https://www.hydroshare.org/resource/cf49999ccc734c268f2ef001cdbc2c16"
		"BCCZO -- Streamflow / Discharge -- (GGL_SW_0_Dis) -- Gordon Gulch: Lower -- (2011-2019), HydroShare, http://www.hydroshare.org/resource/c2384bd1743a4276a88a5110b1964ce0"	"Eric"		"Parrish"	"contact"	"czo"	"eric.parrish@colorado.edu"	"Anderson, S., D. Ragar (2021). BCCZO -- Streamflow / Discharge -- (GGL_SW_0_Dis) -- Gordon Gulch: Lower -- (2011-2019), HydroShare, http://www.hydroshare.org/resource/c2384bd1743a4276a88a5110b1964ce0"	"https://www.hydroshare.org/resource/c2384bd1743a4276a88a5110b1964ce0"
		"BCCZO -- Streamflow / Discharge -- (GGL_SW_0_Dis) -- Gordon Gulch: Lower -- (2011-2019), HydroShare, http://www.hydroshare.org/resource/c2384bd1743a4276a88a5110b1964ce0"	"Suzanne"		"Anderson"	"creator"	"czo"	"eric.parrish@colorado.edu"	"Anderson, S., D. Ragar (2021). BCCZO -- Streamflow / Discharge -- (GGL_SW_0_Dis) -- Gordon Gulch: Lower -- (2011-2019), HydroShare, http://www.hydroshare.org/resource/c2384bd1743a4276a88a5110b1964ce0"	"https://www.hydroshare.org/resource/c2384bd1743a4276a88a5110b1964ce0"
		"BCCZO -- Streamflow / Discharge -- (GGU_SW_0_Dis) -- Gordon Gulch: Upper -- (2009-2014), HydroShare, http://www.hydroshare.org/resource/0efce710d2d24fab9542730522843a32"	"Eric"		"Parrish"	"contact"	"czo"	"eric.parrish@colorado.edu"	"Anderson, S., D. Ragar (2021). BCCZO -- Streamflow / Discharge -- (GGU_SW_0_Dis) -- Gordon Gulch: Upper -- (2009-2014), HydroShare, http://www.hydroshare.org/resource/0efce710d2d24fab9542730522843a32"	"https://www.hydroshare.org/resource/0efce710d2d24fab9542730522843a32"
		"BCCZO -- Streamflow / Discharge -- (GGU_SW_0_Dis) -- Gordon Gulch: Upper -- (2009-2014), HydroShare, http://www.hydroshare.org/resource/0efce710d2d24fab9542730522843a32"	"Suzanne"		"Anderson"	"creator"	"czo"	"eric.parrish@colorado.edu"	"Anderson, S., D. Ragar (2021). BCCZO -- Streamflow / Discharge -- (GGU_SW_0_Dis) -- Gordon Gulch: Upper -- (2009-2014), HydroShare, http://www.hydroshare.org/resource/0efce710d2d24fab9542730522843a32"	"https://www.hydroshare.org/resource/0efce710d2d24fab9542730522843a32"
		"BCCZO -- Surface Water Chemistry -- (BC_SW_Array) -- Boulder Creek CZO -- (2008-2020), HydroShare, http://www.hydroshare.org/resource/6938ed69fb704022b40b194426cc8302"	"Eric"		"Parrish"	"contact"	"czo"	"eric.parrish@colorado.edu"	"Anderson, S., C. Jensen (2021). BCCZO -- Surface Water Chemistry -- (BC_SW_Array) -- Boulder Creek CZO -- (2008-2020), HydroShare, http://www.hydroshare.org/resource/6938ed69fb704022b40b194426cc8302"	"https://www.hydroshare.org/resource/6938ed69fb704022b40b194426cc8302"
		"BCCZO -- Surface Water Chemistry -- (BC_SW_Array) -- Boulder Creek CZO -- (2008-2020), HydroShare, http://www.hydroshare.org/resource/6938ed69fb704022b40b194426cc8302"	"Suzanne"		"Anderson"	"creator"	"czo"	"eric.parrish@colorado.edu"	"Anderson, S., C. Jensen (2021). BCCZO -- Surface Water Chemistry -- (BC_SW_Array) -- Boulder Creek CZO -- (2008-2020), HydroShare, http://www.hydroshare.org/resource/6938ed69fb704022b40b194426cc8302"	"https://www.hydroshare.org/resource/6938ed69fb704022b40b194426cc8302"
		"BCCZO -- Surface Water Chemistry -- (BT_SW_0) -- Betasso -- (2008-2019), HydroShare, http://www.hydroshare.org/resource/3aa9c239e24f44a68469a2c34b88eced"	"Eric"		"Parrish"	"contact"	"czo"	"eric.parrish@colorado.edu"	"Anderson, S. (2021). BCCZO -- Surface Water Chemistry -- (BT_SW_0) -- Betasso -- (2008-2019), HydroShare, http://www.hydroshare.org/resource/3aa9c239e24f44a68469a2c34b88eced"	"https://www.hydroshare.org/resource/3aa9c239e24f44a68469a2c34b88eced"
		"BCCZO -- Surface Water Chemistry -- (BT_SW_0) -- Betasso -- (2008-2019), HydroShare, http://www.hydroshare.org/resource/3aa9c239e24f44a68469a2c34b88eced"	"Suzanne"		"Anderson"	"creator"	"czo"	"eric.parrish@colorado.edu"	"Anderson, S. (2021). BCCZO -- Surface Water Chemistry -- (BT_SW_0) -- Betasso -- (2008-2019), HydroShare, http://www.hydroshare.org/resource/3aa9c239e24f44a68469a2c34b88eced"	"https://www.hydroshare.org/resource/3aa9c239e24f44a68469a2c34b88eced"
		"BCCZO -- Surface Water Chemistry -- (GG_SW_Array) -- Gordon Gulch -- (2008-2020), HydroShare, http://www.hydroshare.org/resource/4bb6710317c445cf996793ac1f5d7149"	"Eric"		"Parrish"	"contact"	"czo"	"eric.parrish@colorado.edu"	"Anderson, S., C. Jensen (2021). BCCZO -- Surface Water Chemistry -- (GG_SW_Array) -- Gordon Gulch -- (2008-2020), HydroShare, http://www.hydroshare.org/resource/4bb6710317c445cf996793ac1f5d7149"	"https://www.hydroshare.org/resource/4bb6710317c445cf996793ac1f5d7149"
		"BCCZO -- Surface Water Chemistry -- (GG_SW_Array) -- Gordon Gulch -- (2008-2020), HydroShare, http://www.hydroshare.org/resource/4bb6710317c445cf996793ac1f5d7149"	"Suzanne"		"Anderson"	"creator"	"czo"	"eric.parrish@colorado.edu"	"Anderson, S., C. Jensen (2021). BCCZO -- Surface Water Chemistry -- (GG_SW_Array) -- Gordon Gulch -- (2008-2020), HydroShare, http://www.hydroshare.org/resource/4bb6710317c445cf996793ac1f5d7149"	"https://www.hydroshare.org/resource/4bb6710317c445cf996793ac1f5d7149"
		"CCZO -- Precipitation -- Calhoun CZO -- (2014-2017), HydroShare, http://www.hydroshare.org/resource/9b2a6c9e66c84380b0bfe34e435a0e0f"	"Will"		"Cook"	"contact"	"czo"	"cwcook@duke.edu"	"Mallard, J. M. (2020). CCZO -- Precipitation -- Calhoun CZO -- (2014-2017), HydroShare, http://www.hydroshare.org/resource/9b2a6c9e66c84380b0bfe34e435a0e0f"	"https://www.hydroshare.org/resource/9b2a6c9e66c84380b0bfe34e435a0e0f"
		"CCZO -- Precipitation -- Calhoun CZO -- (2014-2017), HydroShare, http://www.hydroshare.org/resource/9b2a6c9e66c84380b0bfe34e435a0e0f"	"John"	"M"	"Mallard"	"creator"	"czo"	"cwcook@duke.edu"	"Mallard, J. M. (2020). CCZO -- Precipitation -- Calhoun CZO -- (2014-2017), HydroShare, http://www.hydroshare.org/resource/9b2a6c9e66c84380b0bfe34e435a0e0f"	"https://www.hydroshare.org/resource/9b2a6c9e66c84380b0bfe34e435a0e0f"
		"CCZO -- Stream Water Chemistry -- Calhoun CZO -- (2014-2018), HydroShare, http://www.hydroshare.org/resource/63cd313bd15b4b77b05b8f34ec9388ee"	"Will"		"Cook"	"contact"	"czo"	"cwcook@duke.edu"	"Foroughi, M., C. W. Cook, P. Heine, D. d. Richter (2019). CCZO -- Stream Water Chemistry -- Calhoun CZO -- (2014-2018), HydroShare, http://www.hydroshare.org/resource/63cd313bd15b4b77b05b8f34ec9388ee"	"https://www.hydroshare.org/resource/63cd313bd15b4b77b05b8f34ec9388ee"
		"CCZO -- Stream Water Chemistry -- Calhoun CZO -- (2014-2018), HydroShare, http://www.hydroshare.org/resource/63cd313bd15b4b77b05b8f34ec9388ee"	"M."		"Foroughi"	"creator"	"czo"	"cwcook@duke.edu"	"Foroughi, M., C. W. Cook, P. Heine, D. d. Richter (2019). CCZO -- Stream Water Chemistry -- Calhoun CZO -- (2014-2018), HydroShare, http://www.hydroshare.org/resource/63cd313bd15b4b77b05b8f34ec9388ee"	"https://www.hydroshare.org/resource/63cd313bd15b4b77b05b8f34ec9388ee"
		"CCZO -- Streamflow / Discharge -- Research Area 3, weir 4 -- (2014-2017), HydroShare, http://www.hydroshare.org/resource/ad719c838a7b44e8bbacb33d2c4dd95f"	"Will"		"Cook"	"contact"	"czo"	"cwcook@duke.edu"	"Mallard, J. M. (2021). CCZO -- Streamflow / Discharge -- Research Area 3, weir 4 -- (2014-2017), HydroShare, http://www.hydroshare.org/resource/ad719c838a7b44e8bbacb33d2c4dd95f"	"https://www.hydroshare.org/resource/ad719c838a7b44e8bbacb33d2c4dd95f"
		"CCZO -- Streamflow / Discharge -- Research Area 3, weir 4 -- (2014-2017), HydroShare, http://www.hydroshare.org/resource/ad719c838a7b44e8bbacb33d2c4dd95f"	"John"	"M"	"Mallard"	"creator"	"czo"	"cwcook@duke.edu"	"Mallard, J. M. (2021). CCZO -- Streamflow / Discharge -- Research Area 3, weir 4 -- (2014-2017), HydroShare, http://www.hydroshare.org/resource/ad719c838a7b44e8bbacb33d2c4dd95f"	"https://www.hydroshare.org/resource/ad719c838a7b44e8bbacb33d2c4dd95f"
		"CCZO -- Streamflow / Discharge, Precipitation -- Calhoun Experimental Forest, SC -- (1949-1962), HydroShare, http://www.hydroshare.org/resource/4a30c526f14141bfbd4b496d348fbd20"	"Will"		"Cook"	"contact"	"czo"	"cwcook@duke.edu"	"Wang, J., Y. Shen, S. Shahnaz (2021). CCZO -- Streamflow / Discharge, Precipitation -- Calhoun Experimental Forest, SC -- (1949-1962), HydroShare, http://www.hydroshare.org/resource/4a30c526f14141bfbd4b496d348fbd20"	"https://www.hydroshare.org/resource/4a30c526f14141bfbd4b496d348fbd20/"
		"CCZO -- Streamflow / Discharge, Precipitation -- Calhoun Experimental Forest, SC -- (1949-1962), HydroShare, http://www.hydroshare.org/resource/4a30c526f14141bfbd4b496d348fbd20"	"Jingfang"		"Wang"	"creator"	"czo"	"cwcook@duke.edu"	"Wang, J., Y. Shen, S. Shahnaz (2021). CCZO -- Streamflow / Discharge, Precipitation -- Calhoun Experimental Forest, SC -- (1949-1962), HydroShare, http://www.hydroshare.org/resource/4a30c526f14141bfbd4b496d348fbd20"	"https://www.hydroshare.org/resource/4a30c526f14141bfbd4b496d348fbd20/"
		"Christina River Basin - Stream Suspended Sediment (1993-2012), HydroShare, https://doi.org/10.4211/hs.b92ad2ea2d434d54a7e82e7379b02dcf"	"Anthony"		"Aufdenkampe"	"contact"	"czo"	"crbczo@gmail.com"	"Aufdenkampe, A., J. D. Newbold, W. C. Anderson, D. C. Richardson, S. G. Damiano (2018). Christina River Basin - Stream Suspended Sediment (1993-2012), HydroShare, https://doi.org/10.4211/hs.b92ad2ea2d434d54a7e82e7379b02dcf"	"https://www.hydroshare.org/resource/b92ad2ea2d434d54a7e82e7379b02dcf/"
		"Christina River Basin - Stream Suspended Sediment (1993-2012), HydroShare, https://doi.org/10.4211/hs.b92ad2ea2d434d54a7e82e7379b02dcf"	"Anthony"		"Aufdenkampe"	"creator"	"czo"	"crbczo@gmail.com"	"Aufdenkampe, A., J. D. Newbold, W. C. Anderson, D. C. Richardson, S. G. Damiano (2018). Christina River Basin - Stream Suspended Sediment (1993-2012), HydroShare, https://doi.org/10.4211/hs.b92ad2ea2d434d54a7e82e7379b02dcf"	"https://www.hydroshare.org/resource/b92ad2ea2d434d54a7e82e7379b02dcf/"
		"CJCZO -- Flux Tower -- Mixed Conifer -- Jemez River Basin -- (2007-2012), HydroShare, http://www.hydroshare.org/resource/5ca1378090884e72a8dcb796d882bb07"	"Matej"		"Durcik"	"contact"	"czo"	"mdurcik@email.arizona.edu"	"Litvak, M., P. Brooks (2020). CJCZO -- Flux Tower -- Mixed Conifer -- Jemez River Basin -- (2007-2012), HydroShare, http://www.hydroshare.org/resource/5ca1378090884e72a8dcb796d882bb07"	"https://www.hydroshare.org/resource/5ca1378090884e72a8dcb796d882bb07"
		"CJCZO -- Flux Tower -- Mixed Conifer -- Jemez River Basin -- (2007-2012), HydroShare, http://www.hydroshare.org/resource/5ca1378090884e72a8dcb796d882bb07"	"Marcy"		"Litvak"	"creator"	"czo"	"mdurcik@email.arizona.edu"	"Litvak, M., P. Brooks (2020). CJCZO -- Flux Tower -- Mixed Conifer -- Jemez River Basin -- (2007-2012), HydroShare, http://www.hydroshare.org/resource/5ca1378090884e72a8dcb796d882bb07"	"https://www.hydroshare.org/resource/5ca1378090884e72a8dcb796d882bb07"
		"CJCZO -- Flux Tower -- Ponderosa Pine -- Jemez River Basin -- (2007-2012), HydroShare, http://www.hydroshare.org/resource/1db7abcf0eb64ef49000c46a6133949d"	"Matej"		"Durcik"	"contact"	"czo"	"mdurcik@email.arizona.edu"	"Litvak, M., P. Brooks (2020). CJCZO -- Flux Tower -- Ponderosa Pine -- Jemez River Basin -- (2007-2012), HydroShare, http://www.hydroshare.org/resource/1db7abcf0eb64ef49000c46a6133949d"	"https://www.hydroshare.org/resource/1db7abcf0eb64ef49000c46a6133949d"
		"CJCZO -- Flux Tower -- Ponderosa Pine -- Jemez River Basin -- (2007-2012), HydroShare, http://www.hydroshare.org/resource/1db7abcf0eb64ef49000c46a6133949d"	"Marcy"		"Litvak"	"creator"	"czo"	"mdurcik@email.arizona.edu"	"Litvak, M., P. Brooks (2020). CJCZO -- Flux Tower -- Ponderosa Pine -- Jemez River Basin -- (2007-2012), HydroShare, http://www.hydroshare.org/resource/1db7abcf0eb64ef49000c46a6133949d"	"https://www.hydroshare.org/resource/1db7abcf0eb64ef49000c46a6133949d"
		"CJCZO -- Meteorology -- Lower Site -- Jemez 2011 Burned ZOB -- (2011-2021), HydroShare, http://www.hydroshare.org/resource/346cf577d01e4b2b90ff1cef86e789bb"	"Matej"		"Durcik"	"contact"	"czo"	"mdurcik@email.arizona.edu"	"Papuga, S., M. Losleben, J. Swetish (2021). CJCZO -- Meteorology -- Lower Site -- Jemez 2011 Burned ZOB -- (2011-2021), HydroShare, http://www.hydroshare.org/resource/346cf577d01e4b2b90ff1cef86e789bb"	"https://www.hydroshare.org/resource/346cf577d01e4b2b90ff1cef86e789bb"
		"CJCZO -- Meteorology -- Lower Site -- Jemez 2011 Burned ZOB -- (2011-2021), HydroShare, http://www.hydroshare.org/resource/346cf577d01e4b2b90ff1cef86e789bb"	"Shirley"		"Papuga"	"creator"	"czo"	"mdurcik@email.arizona.edu"	"Papuga, S., M. Losleben, J. Swetish (2021). CJCZO -- Meteorology -- Lower Site -- Jemez 2011 Burned ZOB -- (2011-2021), HydroShare, http://www.hydroshare.org/resource/346cf577d01e4b2b90ff1cef86e789bb"	"https://www.hydroshare.org/resource/346cf577d01e4b2b90ff1cef86e789bb"
		"CJCZO -- Meteorology -- South-East Site -- Jemez 2013 Burned ZOB -- (2010-2021), HydroShare, http://www.hydroshare.org/resource/0ba983afc62647dc8cfbd91058cfc56d"	"Matej"		"Durcik"	"contact"	"czo"	"mdurcik@email.arizona.edu"	"Papuga, S., S. Compton, K. Nelson, M. Losleben, J. Swetish, R. Minor, D. Wilcox, S. Wilcox, M. Durcik (2021). CJCZO -- Meteorology -- South-East Site -- Jemez 2013 Burned ZOB -- (2010-2021), HydroShare, http://www.hydroshare.org/resource/0ba983afc62647dc8cfbd91058cfc56d"	"https://www.hydroshare.org/resource/0ba983afc62647dc8cfbd91058cfc56d"
		"CJCZO -- Meteorology -- South-East Site -- Jemez 2013 Burned ZOB -- (2010-2021), HydroShare, http://www.hydroshare.org/resource/0ba983afc62647dc8cfbd91058cfc56d"	"Shirley"		"Papuga"	"creator"	"czo"	"mdurcik@email.arizona.edu"	"Papuga, S., S. Compton, K. Nelson, M. Losleben, J. Swetish, R. Minor, D. Wilcox, S. Wilcox, M. Durcik (2021). CJCZO -- Meteorology -- South-East Site -- Jemez 2013 Burned ZOB -- (2010-2021), HydroShare, http://www.hydroshare.org/resource/0ba983afc62647dc8cfbd91058cfc56d"	"https://www.hydroshare.org/resource/0ba983afc62647dc8cfbd91058cfc56d"
		"CJCZO -- Meteorology -- Upper Site -- Jemez 2011 Burned ZOB -- (2011-2020), HydroShare, http://www.hydroshare.org/resource/1dc7b0975ae2469a96e3458075d3b75c"	"Matej"		"Durcik"	"contact"	"czo"	"mdurcik@email.arizona.edu"	"Papuga, S., M. Losleben, J. Swetish (2021). CJCZO -- Meteorology -- Upper Site -- Jemez 2011 Burned ZOB -- (2011-2020), HydroShare, http://www.hydroshare.org/resource/1dc7b0975ae2469a96e3458075d3b75c"	"https://www.hydroshare.org/resource/1dc7b0975ae2469a96e3458075d3b75c"
		"CJCZO -- Meteorology -- Upper Site -- Jemez 2011 Burned ZOB -- (2011-2020), HydroShare, http://www.hydroshare.org/resource/1dc7b0975ae2469a96e3458075d3b75c"	"Shirley"		"Papuga"	"creator"	"czo"	"mdurcik@email.arizona.edu"	"Papuga, S., M. Losleben, J. Swetish (2021). CJCZO -- Meteorology -- Upper Site -- Jemez 2011 Burned ZOB -- (2011-2020), HydroShare, http://www.hydroshare.org/resource/1dc7b0975ae2469a96e3458075d3b75c"	"https://www.hydroshare.org/resource/1dc7b0975ae2469a96e3458075d3b75c"
		"CJCZO -- Precipitation -- B2 Desert Site -- (2009-2019), HydroShare, http://www.hydroshare.org/resource/f5ae15fbdcc9425e847060f89da61557"	"Matej"		"Durcik"	"contact"	"czo"	"mdurcik@email.arizona.edu"	"Troch, P., N. Abramson, A. Jardine (2021). CJCZO -- Precipitation -- B2 Desert Site -- (2009-2019), HydroShare, http://www.hydroshare.org/resource/f5ae15fbdcc9425e847060f89da61557"	"https://www.hydroshare.org/resource/f5ae15fbdcc9425e847060f89da61557"
		"CJCZO -- Precipitation -- B2 Desert Site -- (2009-2019), HydroShare, http://www.hydroshare.org/resource/f5ae15fbdcc9425e847060f89da61557"	"Peter"		"Troch"	"creator"	"czo"	"mdurcik@email.arizona.edu"	"Troch, P., N. Abramson, A. Jardine (2021). CJCZO -- Precipitation -- B2 Desert Site -- (2009-2019), HydroShare, http://www.hydroshare.org/resource/f5ae15fbdcc9425e847060f89da61557"	"https://www.hydroshare.org/resource/f5ae15fbdcc9425e847060f89da61557"
		"CJCZO -- Precipitation -- Marshall Gulch -- (2007-2019), HydroShare, http://www.hydroshare.org/resource/f7df7b07ea19477ab7ea701c34bc356b"	"Matej"		"Durcik"	"contact"	"czo"	"mdurcik@email.arizona.edu"	"Troch, P., I. Heidbuechel, N. Abramson (2019). CJCZO -- Precipitation -- Marshall Gulch -- (2007-2019), HydroShare, http://www.hydroshare.org/resource/f7df7b07ea19477ab7ea701c34bc356b"	"https://www.hydroshare.org/resource/f7df7b07ea19477ab7ea701c34bc356b"
		"CJCZO -- Precipitation -- Marshall Gulch -- (2007-2019), HydroShare, http://www.hydroshare.org/resource/f7df7b07ea19477ab7ea701c34bc356b"	"Peter"		"Troch"	"creator"	"czo"	"mdurcik@email.arizona.edu"	"Troch, P., I. Heidbuechel, N. Abramson (2019). CJCZO -- Precipitation -- Marshall Gulch -- (2007-2019), HydroShare, http://www.hydroshare.org/resource/f7df7b07ea19477ab7ea701c34bc356b"	"https://www.hydroshare.org/resource/f7df7b07ea19477ab7ea701c34bc356b"
